text,actual_category,predicted_category,confidence
La mutazion e zonte gnove varietât gjenetiche e la selezion la tire vie dal insiemi des variazions palesis.,science/technology,science/technology,0.27841323614120483
La bombe a fission e funzione sul principi che e covente energjie par meti insiemi un nucli cuntune vore di protons e neutrons.,science/technology,science/technology,0.832920491695404
Il nucli al consist di dôs particulis - neutrons e protons.,science/technology,science/technology,0.9740212559700012
Chest al à permetût ai obietîfs zoom di otignî imagjins di cualitât comparabile cun chê otignude cu lis lints cun lungjece focâl fisse.,science/technology,travel,0.7033197283744812
"A son miôr dai web proxy par plui resons: a fasin deviâ dut il trafic internet, no dome chel http.",science/technology,health,0.5132421851158142
Il progjetâ in mût interatîf al domande di rivalutâ lis propriis convinzions in cont de produzion dai media e imparâ a pensâ in mûts no lineârs.,science/technology,travel,0.5659346580505371
"Cheste e deventà une pratiche comun, ma il fier al fruiave di plui lis ruedis di len dai cjars.",science/technology,travel,0.7731019854545593
Tai brancs si cjatin di un a trê leons adults imparintâts e fin a trente leonessis e piçui.,science/technology,travel,0.4543277323246002
"Ancje se la IA e à fuartis conotazions di fantasience, la IA e forme un cjamp une vore impuartant de sience dal ordenadôr, che e gjestìs il compuartament, l’aprendiment e l’adatament inteligjent intune machine.",science/technology,science/technology,0.30699291825294495
Il rapuart di chest formât (dividût par dodis par otignî il rapuart plui facil in numars intîrs) al è duncje clamât 3:2.,science/technology,sports,0.6543978452682495
"Un telefon satelitâr in gjenerâl nol è un rimplaçament dal telefon celulâr, stant che si à di jessi difûr e vê la visuâl libare bande dal satelit par podê clamâ.",science/technology,travel,0.4938545823097229
"Ancje se lis feradis pai cjars a consistevin dome di breis di len paralelis, a permetevin ai cjavâi che ju tiravin di rivâ a velocitâts plui altis e puartâ des cjamis plui grandis di chês des stradis un tic plui gresis di chê volte.",science/technology,travel,0.6377266645431519
"Lis personis a àn cognossût i elements chimics di base come l’aur, l’arint e il ram fin de antichitât, stant che chescj si puedin scuvierzi in nature in forme native e a son avonde facii di estrai cun imprescj primitîfs.",science/technology,travel,0.44385457038879395
La ruede e à cambiât il mont in manieris incredibilis. Il vantaç plui grant che la ruede nus à dât al è che il traspuart al è deventât une vore plui svelt e facil.,science/technology,travel,0.659622311592102
"Chest par fâ in mût che la imagjin e cjapi dut il schermi, une operazion che par inglês si clame “overscan”.",science/technology,sports,0.8010469079017639
I sotmarins todescs a jerin clamâts U-Boats. I todescs a jerin une vore brâfs a navigâ e manovrâ cui lôr sotmarins.,science/technology,travel,0.6269887089729309
"Ancje se il so stât fisic al pues cambiâ, il so stât chimic al reste compagn.",science/technology,travel,0.3048856556415558
Si à tension inte superficie parcè che lis moleculis di aghe inte superficie de aghe si tirin dongje insiemi cun plui fuarce che cu lis moleculis dal aiar parsore di lôr.,science/technology,sports,0.8007287383079529
Un dai problemis plui comuns cuant che si cîr di convertî un film in DVD al è l’overscan.,science/technology,entertainment,0.47397127747535706
"In mût particolâr, si sosten che si puedi percepî se une persone e sta contant bausiis interpretant in mût coret lis micro-espressions.",science/technology,sports,0.5379289984703064
L’aur si pues lavorâ par dâi ducj i gjenars di formis e al pues ancje jessi inrodolât in formis piçulis.,science/technology,sports,0.3789850175380707
"Il sisteme IA al è doprât dispès in dì di vuê intai cjamps de economie, medisine, inzegnarie e tal cjamp militâr, stant che al è stât incorporât intune vore di ordenadôrs di cjase e aplicazions software par videozûcs.",science/technology,science/technology,0.3777792453765869
"E ven ancjemò produsude in dì di vuê, ma plui impuartant al è che il rapuart al è stât ereditât dai formâts dai sensôrs di imagjins digjitâls.",science/technology,travel,0.3765256702899933
"La regole dai tierçs, masse doprade e spes ridicolizade, e je une semplice diretive che e cree dinamisim tignint une misure di ordin intune imagjin.",science/technology,health,0.49267593026161194
"Chest nol conferme nome che almancul un pôcs di dinosaurs a vevin lis plumis, teorie za ben slargjade, ma al ufrìs ancje detais che i fossii di solit no puedin dâ, come il colôr e la disposizion tridimensionâl.",science/technology,travel,0.6248722076416016
"Cemût fasie la gravitât di Io a atraimi? Se tu fossis su la superficie di Io, tu pesaressis mancul di ce che tu pesis su la Tiere.",science/technology,health,0.8046493530273438
