text,actual_category,predicted_category,confidence
"Seduturgo do bedda sabon genetic daban daban, be subtugo do itta dum daga je pool je be vurtini daban daban.",science/technology,science/technology,0.4846124053001404
Kuje bom fushon ɗo naftira sembe man on heɓa wadda nukliyos je mari protonji ɗuɗɗum be nutronji ɗuɗɗum fotta.,science/technology,science/technology,0.48152956366539
Nucleus do mari kuje didi ha der majum - neutrons be protons.,science/technology,entertainment,0.8326299786567688
Ɗum ɗon acca gite keeke hoasugo hoto dasa hunde dayɗum baditina hawta hoosa hoto boɗɗum ɗum wawata hawtugo be gite keeke hosugo hoto ɗum gite may ɗon dari pellel gotel.,science/technology,entertainment,0.5330321192741394
Be wawi (web proxies) sosai: be do hakkili na be yanan gizo habe (http).,science/technology,entertainment,0.41668272018432617
Didugo be wawata wolwugo yiɗi ha bedda larugo ko a nummi do hautugo hunde be larata ko be nanata bo a ekkita numugo ha lawol je na banni a vowi ba.,science/technology,entertainment,0.6531890034675598
"Do warti koh buri ha ekkutuggo, amma jamdi do dasa duddum watugo hado katako (wheels) je wagons.",science/technology,entertainment,0.44223764538764954
"Teddinare hanjum on gotel der tati je nandhi be worbe maube, ko yadhi be robe dum dum ha thalatil be iyalu.",science/technology,entertainment,0.8681884407997131
"Be AI do nandi feure je fasaha, AI hauti babal je mari nafu masin ha fasaha komfuta, do huwa be no goddo watta kuje, ekkutuggo, be vowugo alu ha machine.",science/technology,entertainment,0.3076479732990265
Gikku sendu je sinnga (sendugo dum be sappoi'didi gam hebugo muuma buri famdugo dum wawata sendugo) en wawan viyugo kanju'on 3:2.,science/technology,travel,0.4637307822704315
"Waya hoodere nana be keridum on heba hosa pellel waya jungo ba, gam kanjum sete ado yasi bo a hebbi yake hoodere vangiti bako a naftira.",science/technology,geography,0.3660944402217865
"Kodayeke (wagonways) bedi katako, be dou acsha pupcshi do dasa heba be yawa dasu go kare duddum .",science/technology,entertainment,0.7648134827613831
"Himbe aarti andi hala kattinidum dum buri sananke bana Kannge, Cardi, be njamdi mboderi daga kare kiddum, gam pat bedo heba ha leddi lesdinkeejum bo wala bone wasugo be kare wasarde je nane.",science/technology,entertainment,0.5991779565811157
Taayaji sanji duniya her laabi ɓoɗɗi. Kuugal manga je ko taayaji ɗo wanni en kanjum on hokki en laabi yaadu koiɗum bo jawɗum.,science/technology,entertainment,0.9100853800773621
do be wadi dum on gam hoto man mabba sikirin man pat.,science/technology,entertainment,0.5943475365638733
Renube ndyan German be do dona mabbe U-Boats.fin bo be ande lawaul der ndiyam sosai .,science/technology,entertainment,0.3735429048538208
"Pat be fizical tagdi man wawan chanja ta, kemikal tagdi man chanja taako.",science/technology,entertainment,0.6662217378616333
(surface tension) buri huwugo ha dou ndyiam gam do joga bandum am majun nabana ha hindu bah ha dau majun.,science/technology,science/technology,0.41390934586524963
Gotel nder matsalagi je buri feugo to ado habda lornugo fim warugo DVD kanjum on wada scanning bura sembe.,science/technology,entertainment,0.6340010762214661
"Ha kanjum, ɓe vi'i a wawan heftugo to goɗɗo ɗno fewa to a famti no o watta yeeso mako be boɗɗum.",science/technology,entertainment,0.8904315829277039
Kannge ko irin toi be huwan dow mai be wailita dum warta ko iri no ayidi. Awawan atama dum warta petetel,science/technology,science/technology,0.44883930683135986
"Je al system jotta yawanci do naftira ha wakkere tatalin arziki,je likitanci,enjiniya be soja’en, ba’na no be nyibi computer ha ci’’eiji den bo video fijirde software applications.",science/technology,entertainment,0.5894274115562439
"Ha jonta feyoɓe may ɓe ɗon fe'a kuje may, ko ngam ma be heɓɓi illmu keesum be fotoji je nyaɗum fahin.",science/technology,entertainment,0.9159817695617676
Hudugo be salugo gonga doka je tati huyi wadugo sai a resa majun ha hoto. hado hautugo kujeji wala hore wala kosde ha larugo.,science/technology,entertainment,0.718796968460083
"Do tabbitini fere hader dinosaurs do mari liiliiji, kiisaki dum arti yirli, amma faggitani heti hado ko fossils wawatako, bana kala be no alarata dum hedi gefe tati.",science/technology,entertainment,0.42016446590423584
"Noi no dasatare Lo's dasata'am? Toh a dari ha dau Lo, atteddako bano a teddata ha duniyaro.",science/technology,entertainment,0.5011236667633057
NextGen kanjum hunde on je FAA viyi acchan jirgi hendu wada jahangal ha wakkati sedda bo be siga gallonji je ngebbam duddum pat hitaande bo be taa vurtugo je carbon.,science/technology,entertainment,0.5666802525520325
Andugo habaru Neurobiology do hokka seeda hakika gam do tokka doka binchike andal. Gammajum handi en faddina bincike heba en heba hunde hakika.,science/technology,science/technology,0.5455909967422485
"Ha der gewta mako je awa didi o vi “hande Apple bedda vo’inga waya, min hautan ko be hokkata habaru hande”.",science/technology,entertainment,0.8036736249923706
Matsala lensji zum kanjum on fokal komplekzity man bo be ɗuuɗugo element lens je ko mari haaje yotta renj fokal lent ɓuri praim lens ɗuɗugo.,science/technology,entertainment,0.7962566614151001
"Nandugo aquati larurgo (remote), je je do les kuje nafturgo didi (sensors) resi ha kombi je mo naftirta be aquatic larugo ha (triangulate) je matsayi dar tatti-(dimension) babal",science/technology,science/technology,0.7116180658340454
Scientists vi pippike dabba cala leddi je chestnut on ha do be kodugo ko kala carotenoid ha les.,science/technology,travel,0.40661007165908813
"Hawtirde kujeji ɗiɗi man huwidan oya be oya ngam wurtinugo kaangeri je footi darna kugal ɓooye, ko teffoɓe ha jam'iare wi'i.",science/technology,entertainment,0.8911884427070618
Ɗo hokkay sappinol bana nde nay je 35mm ustare (3136mm2 hakunde 864),science/technology,entertainment,0.4217362403869629
Bggol hite je wani der dyam kam jun on hauti lesde Europe be satellite manga mai. Greenland o hauti be bobbdum yari 93% je dudugo himbe mari haje internet,science/technology,entertainment,0.5722309947013855
"Gotel der kujeji be naftirta ha waya ha babal do kuje chanjugo demgal je Google on, je accata goddo wartira hala daga demgal fere yahugo fere ko a hauta be internet to a jippini demgal je a yidi man.",science/technology,entertainment,0.7355805039405823
"Do mari iri gotel (molecular structure) koda je hendu on, koh diyam, ko leddi.",science/technology,science/technology,0.7310648560523987
"Nafturgo bidiyo be hosi valli ha heftugo kujeji mari nafu duddum ha jangugo no goddo wadi yeso mako, no yeso dimbata je wala neba sam.",science/technology,entertainment,0.29895931482315063
Bil adamajo nemi ɗo naftira be lenses do magnification ko duɓi e duɓare ujineere ujineere.,science/technology,entertainment,0.6856379508972168
"Na ngam jun tan ba, goɗugo kuje, fundugo kuje kam jun on nafturun go ngam a itta kuje gotel ko ko buri banni kowawa ta a heba, emugo, be larugo kam jun fu do walita teffol bincike.",science/technology,entertainment,0.5340953469276428
"Daga ɓawo, takkaare ɓe watta be horaare be warti ɓe ɗon do naftira be takkaare njamdi. Ha 1767, lawol jirki ɗum kanju'on artundere be fuɗɗi fiyugo be njamdi fuɗɗi huwugo.",science/technology,entertainment,0.8011302351951599
"Be carti fere do mari nafu a dyona ko hatoi, fere kam do nafa on ha dyonuga be koidum ni lesde fere on tan.",science/technology,travel,0.5190604329109192
Burna kakel binchike je larugo asamaaji jamanu pat bedo siga ha saro manga on bo be do maha ha babalji Mari ni'eema boddum.,science/technology,travel,0.5304248929023743
Batal mai o dau ndyiam gam sembe diyam wani ha dou.,science/technology,entertainment,0.7636041045188904
Tsari man je 35mm ɗo sakla himɓe sai nanda ba je tsari 36mm be yajugo 24mm to ɗo dari.,science/technology,entertainment,0.7922175526618958
"Cells en basic be critical kuje je a viyata a jangan ha yonki, bo, ɓurna ɓe ɗo andi ɗum do ko ɓe vi’ata “nyimol Mahdi je yonki”.",science/technology,science/technology,0.5001120567321777
Kuje goɗɗo naftirta (VPN) o maɓɓita pej intanet je huwata ha wuro mako ɗo walla heɓugo saala matsala goɗɗo heɓɓa ta to o laran kuje siyasa be kujeji IP lumo wuro maɓɓe.,science/technology,entertainment,0.39838680624961853
"Baabal man joggi towugo maɓɓe, ko be sende gyroskop arande ha baabal je yaasi duniyaru man, ha wakkati yahdu ha yasi duniyaru man timmi.",science/technology,entertainment,0.8210641741752625
"Himbe mari irin numtol do dó mari numo nangata hakkilo, be wawi manndugo nyenyeji, laabra firtindirgooji bo huwa hado fonde-fonde kimiya be fasaha.",science/technology,entertainment,0.8413808941841125
"Ocelotji yiɗi nyamugo dabaji pet-petel. Sai ɓe naanga waandu, mbodi, be bera be colli to be wawan. Pat je o nangata ɓuri famɗugo kanko ocelot farauta famɗi ha do no woni.",science/technology,entertainment,0.7421600818634033
"Footoo film na'ura hoto ji fere do naftiran kala 6 be 6 cm, de'iddo ma jankiraadum 56 be 56 mm.",science/technology,entertainment,0.8858376741409302
Dillube hani be anda dou matsala je yanayi no (weather)wani gam wawan dasa matsala ha jahan gal mabbe.,travel,travel,0.3404020369052887
"Motaaji bus do acca tasha caka fattude(ha yeeso mayo)ko wakkiti toi ha nyalade, ammo burna be heediri fuuna fu be jakar/Bumthan do acca caka 06:30 be 07:30.",travel,sports,0.3463577926158905
