text,translated_text,clean_output
تضيف الطفرة اختلافات وراثيّة جديدة، ويزيلها الانتقاء من تجميعة الاختلافات التعبيرية.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: تضيف الطفرة اختلافات وراثيّة جديدة، ويزيلها الانتقاء من تجميعة الاختلافات التعبيرية. 
English: The addition of new mutations adds new genetic variation, while the removal of old ones removes it from the pool of expressed variation.","The addition of new mutations adds new genetic variation, while the removal of old ones removes it from the pool of expressed variation."
أساس عمل القنبلة الانشطارية على أساس أنها تجمع الطاقة حتى تكون نواة مليئة بالبروتونات والنيوترونات.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: أساس عمل القنبلة الانشطارية على أساس أنها تجمع الطاقة حتى تكون نواة مليئة بالبروتونات والنيوترونات. 
English: The first nuclear bomb was successfully tested in the summer of 1945.",The first nuclear bomb was successfully tested in the summer of 1945.
تتكون النواة من جسيمين - النيوترونات والبروتونات.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: تتكون النواة من جسيمين - النيوترونات والبروتونات. 
English: The nucleus consists of two particles - neutrons and protons.",The nucleus consists of two particles - neutrons and protons.
وهالشي خله عدسات التكبير والتصغير تطلع صور بجودة تشبه اللي حققتها العدسات ذات الطول البؤري الثابت.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: وهالشي خله عدسات التكبير والتصغير تطلع صور بجودة تشبه اللي حققتها العدسات ذات الطول البؤري الثابت. 
English: The first images were taken by the zoom lenses of the telescope.",The first images were taken by the zoom lenses of the telescope.
فهي تتفوق على بروكسي الويب لعدة أسباب: فهي تعيد توجيه كل حركات المرور على الإنترنت، ومو بس عبر بروتوكول نقل النص الفائق.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: فهي تتفوق على بروكسي الويب لعدة أسباب: فهي تعيد توجيه كل حركات المرور على الإنترنت، ومو بس عبر بروتوكول نقل النص الفائق. 
English: They are superior to web proxies for several reasons: They re-route all Internet traffic, and they do so over the FULL TCP/IP protocol.","They are superior to web proxies for several reasons: They re-route all Internet traffic, and they do so over the FULL TCP/IP protocol."
التصميم التفاعلي يتطلب أن تعيد تقييم افتراضاتك عن الإنتاج الإعلامي وتتعلم تفكر بأساليب خارجة عن المألوف.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: التصميم التفاعلي يتطلب أن تعيد تقييم افتراضاتك عن الإنتاج الإعلامي وتتعلم تفكر بأساليب خارجة عن المألوف. 
English: Interactive design requires you to reevaluate your assumptions about media production and learn to think outside the box.",Interactive design requires you to reevaluate your assumptions about media production and learn to think outside the box.
وصار هالشي عرف متبع، لكن الحديد سبب المزيد من التآكل للتايرات الخشبية للعربات.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: وصار هالشي عرف متبع، لكن الحديد سبب المزيد من التآكل للتايرات الخشبية للعربات. 
English: The iron caused more wear on the wooden wheels of the chariots.",The iron caused more wear on the wooden wheels of the chariots.
تتكون عائلة الأسود من واحد إلى تلث ذكور بالغين، بالإضافة لـ35 أنثى وشبل تقريباً.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: تتكون عائلة الأسود من واحد إلى تلث ذكور بالغين، بالإضافة لـ35 أنثى وشبل تقريباً. 
English: The black family consists of one to three males and 35 females and cubs.",The black family consists of one to three males and 35 females and cubs.
بالرغم من أن للذكاء الاصطناعي دلالة قوية للخيال العلمي، فهو يشكل فرع كلش مهم من علوم الحاسوب، ويتعامل مع السلوك والتعلم والتكيف الذكي بالآلة.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: بالرغم من أن للذكاء الاصطناعي دلالة قوية للخيال العلمي، فهو يشكل فرع كلش مهم من علوم الحاسوب، ويتعامل مع السلوك والتعلم والتكيف الذكي بالآلة. 
English: AI is a very important branch of computer science dealing with behavior, learning, and intelligent adaptation in an artificial intelligence machine.","AI is a very important branch of computer science dealing with behavior, learning, and intelligent adaptation in an artificial intelligence machine."
نسبة الأبعاد الخاصة بهذي  الصورة تكون (عند القسمة على 12 للحصول على النسبة لأبسط عدد صحيح) إذن راح تكون 3:2.,"Mesopotamian Spoken Arabic: تركيا تحوطها البحار من تلث جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Mesopotamian Spoken Arabic: ببداية الحرب، كانت الغواصات تبحر على سطح البحر، بس لمن بدا الرادار يتطور وصار أدق، اضطرت الغواصات تغوص جوه المي حتى ما تنكشف. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Mesopotamian Spoken Arabic: نسبة الأبعاد الخاصة بهذي  الصورة تكون (عند القسمة على 12 للحصول على النسبة لأبسط عدد صحيح) إذن راح تكون 3:2. 
English: So the image would be 3:2.",So the image would be 3:2.
