text,translated_text,clean_output
उत्परीवर्तनाने नवीन अनुवांशिक बदल निर्माण होतात आणि निवड त्यांना माहित असलेल्या बदलांच्या साठ्यातून वेगळे करते.,"Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: उत्परीवर्तनाने नवीन अनुवांशिक बदल निर्माण होतात आणि निवड त्यांना माहित असलेल्या बदलांच्या साठ्यातून वेगळे करते. 
English: Mutation adds new genetic variation and natural selection removes it from the pool of existing variation.",Mutation adds new genetic variation and natural selection removes it from the pool of existing variation.
विखंडन बॉम्ब हा अनेक प्रोटॉन आणि न्यूट्रॉन असलेले न्यूक्लियस एकत्रित ठेवण्यासाठी ऊर्जा लागते या तत्त्वावर कार्य करतो.,"Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: विखंडन बॉम्ब हा अनेक प्रोटॉन आणि न्यूट्रॉन असलेले न्यूक्लियस एकत्रित ठेवण्यासाठी ऊर्जा लागते या तत्त्वावर कार्य करतो. 
English: The bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.",The bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.
अणुकेंद्रकामध्ये न्यूट्रॉन आणि प्रोटॉन असे 2 कण असतात.,"Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: अणुकेंद्रकामध्ये न्यूट्रॉन आणि प्रोटॉन असे 2 कण असतात. 
English: The nucleus consists of two particles - neutrons and protons.",The nucleus consists of two particles - neutrons and protons.
यामुळे झूम करता येणाऱ्या भिंगाना स्थिर अशा केद्रीय अंतर असणाऱ्या भिंगापेक्षा अधिक गुणवत्तेची चित्रे काढणे शक्य झाले आहे.,"Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: यामुळे झूम करता येणाऱ्या भिंगाना स्थिर अशा केद्रीय अंतर असणाऱ्या भिंगापेक्षा अधिक गुणवत्तेची चित्रे काढणे शक्य झाले आहे. 
English: This has allowed zoom lenses to produce pictures of a higher quality than those that are possible with fixed focal length lenses.",This has allowed zoom lenses to produce pictures of a higher quality than those that are possible with fixed focal length lenses.
ते अनेक कारणांसाठी वेब प्रॉक्सीपेक्षा उत्कृष्ट आहेत: ते केवळ http नव्हे तर सर्व इंटरनेट ट्रॅफिक रि-रूट करतात.,"Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: ते अनेक कारणांसाठी वेब प्रॉक्सीपेक्षा उत्कृष्ट आहेत: ते केवळ http नव्हे तर सर्व इंटरनेट ट्रॅफिक रि-रूट करतात. 
English: ते अनेक कारणांसाठी वेब प्रॉक्सीपेक्षा उत्कृष्ट आहेत: ते केवळ http नव्हे तर सर्व इंटरनेट ट्रॅफिक रि-रूट करतात.",ते अनेक कारणांसाठी वेब प्रॉक्सीपेक्षा उत्कृष्ट आहेत: ते केवळ http नव्हे तर सर्व इंटरनेट ट्रॅफिक रि-रूट करतात.
इंटरॅक्टिव्ह डिझाईनसाठी तुम्हाला मीडिया उत्पादनाबद्दलच्या तुमच्या मतांचे पुनर्मूल्यांकन करणे आणि चौकटी बाहेरील मार्गाने विचार करण्यास शिकणे आवश्यक आहे.,"Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: इंटरॅक्टिव्ह डिझाईनसाठी तुम्हाला मीडिया उत्पादनाबद्दलच्या तुमच्या मतांचे पुनर्मूल्यांकन करणे आणि चौकटी बाहेरील मार्गाने विचार करण्यास शिकणे आवश्यक आहे. 
English: Interactive design requires you to re-evaluate your opinions on media production and learn to think outside the box.",Interactive design requires you to re-evaluate your opinions on media production and learn to think outside the box.
"ही सामान्य पद्धत झाली, पण लोखंडामुळे डब्ब्याच्या लाकडी चाकांची   झीज जास्त झाली.","Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: ही सामान्य पद्धत झाली, पण लोखंडामुळे डब्ब्याच्या लाकडी चाकांची   झीज जास्त झाली. 
English: This became common practice, but the iron caused the wooden wheels on the wagons to rust more quickly.","This became common practice, but the iron caused the wooden wheels on the wagons to rust more quickly."
"प्राइड हा एक ते तीन संबधित प्रौढ नर, त्याचबरोबर जास्तीत जास्त तीस माद्या आणि छावे यांनी बनलेला असतो.","Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: प्राइड हा एक ते तीन संबधित प्रौढ नर, त्याचबरोबर जास्तीत जास्त तीस माद्या आणि छावे यांनी बनलेला असतो. 
English: The pride is made up of one to three related adult males, along with as many as thirty females and cubs.","The pride is made up of one to three related adult males, along with as many as thirty females and cubs."
"जरी AI मागे शास्त्रियदृष्ट्या कल्पित गोष्ट असा अर्थ असला तरी, AI काँप्युटर सायन्समधील एक अतिशय महत्त्वाची शाखा आहे, जी यंत्रांचे वर्तन, शिकण्याची क्रिया आणि जुळवून घेण्याची प्रक्रिया यांच्याशी संबंधित आहे.","Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: जरी AI मागे शास्त्रियदृष्ट्या कल्पित गोष्ट असा अर्थ असला तरी, AI काँप्युटर सायन्समधील एक अतिशय महत्त्वाची शाखा आहे, जी यंत्रांचे वर्तन, शिकण्याची क्रिया आणि जुळवून घेण्याची प्रक्रिया यांच्याशी संबंधित आहे. 
English: Although AI is a concept in science fiction, AI is a very important branch of computer science, which deals with the behavior, learning and intelligent adaptation of machines.","Although AI is a concept in science fiction, AI is a very important branch of computer science, which deals with the behavior, learning and intelligent adaptation of machines."
या फॉरमॅटचा आस्पेक्ट रेशिओ (सर्वात सोपा पूर्ण-संख्येतील रेशिओ प्राप्त करण्यासाठी बाराने भागणे) म्हणून 3:2 असल्याचे समजले जाते.,"Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: या फॉरमॅटचा आस्पेक्ट रेशिओ (सर्वात सोपा पूर्ण-संख्येतील रेशिओ प्राप्त करण्यासाठी बाराने भागणे) म्हणून 3:2 असल्याचे समजले जाते. 
English: The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.",The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.
"सॅटेलाइट फोन ही सामान्यत: मोबाइल फोनची बदल्ण्याची जागा नसते, कारण फोन कॉल करण्यासाठी आपण सॅटेलाइट दर्शवण्यासाठी स्पष्ट लाइन सह घराबाहेर असणे आवश्यक आहे","Marathi: तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Marathi: युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Marathi: सॅटेलाइट फोन ही सामान्यत: मोबाइल फोनची बदल्ण्याची जागा नसते, कारण फोन कॉल करण्यासाठी आपण सॅटेलाइट दर्शवण्यासाठी स्पष्ट लाइन सह घराबाहेर असणे आवश्यक आहे 
English: Satellite phones are not generally a replacement for mobile phones, as you need to be outside with clear line of sight to the satellite to make a phone call.","Satellite phones are not generally a replacement for mobile phones, as you need to be outside with clear line of sight to the satellite to make a phone call."
