text,translated_text,clean_output
突變會增加新的基因變異，而天擇則會將其從顯性變異庫中移除。,"Chinese: 突變會增加新的基因變異，而天擇則會將其從顯性變異庫中移除。 
English: Mutation adds new genetic variation, and natural selection removes it from the expressed variation pool.","Mutation adds new genetic variation, and natural selection removes it from the expressed variation pool."
核分裂炸彈的運作原理，是基於將眾多質子和中子融合成一個原子核需要大量能量。,"Chinese: 核分裂炸彈的運作原理，是基於將眾多質子和中子融合成一個原子核需要大量能量。 
English: The working principle of a nuclear bomb is based on the fact that it takes a lot of energy to combine many protons and neutrons into a nucleus.",The working principle of a nuclear bomb is based on the fact that it takes a lot of energy to combine many protons and neutrons into a nucleus.
原子核由中子和質子兩種粒子組成。,"Chinese: 原子核由中子和質子兩種粒子組成。 
English: The nucleus consists of two particles - neutrons and protons.",The nucleus consists of two particles - neutrons and protons.
這已能使變焦鏡頭拍出與定焦鏡頭不相上下的照片品質。,"Chinese: 這已能使變焦鏡頭拍出與定焦鏡頭不相上下的照片品質。 
English: This has made zoom lenses capable of producing pictures of a quality comparable to that of prime lenses.",This has made zoom lenses capable of producing pictures of a quality comparable to that of prime lenses.
它們優於網路代理伺服器的理由有幾個：它們能重新導向所有網路流量，而非只有 http 的流量。,"Chinese: 它們優於網路代理伺服器的理由有幾個：它們能重新導向所有網路流量，而非只有 http 的流量。 
English: They are superior to web proxies for several reasons: They re-route all Internet traffic, not just http.","They are superior to web proxies for several reasons: They re-route all Internet traffic, not just http."
互動式設計需要你重新評估對媒體製作的假設，以及學習以非線性的方式思考。,"Chinese: 互動式設計需要你重新評估對媒體製作的假設，以及學習以非線性的方式思考。 
English: Interactive design requires you to reevaluate your assumptions about media production and to learn to think in a non-linear ways.",Interactive design requires you to reevaluate your assumptions about media production and to learn to think in a non-linear ways.
這成為常見作法，但鐵會使馬車的木輪上出現更多磨損。,"Chinese: 這成為常見作法，但鐵會使馬車的木輪上出現更多磨損。 
English: This became common practice, but iron caused more wear on the wooden wheels of the chariots.","This became common practice, but iron caused more wear on the wooden wheels of the chariots."
獅群裡有一到三隻成年公獅，再加上多達三十隻母獅和幼獅組成。,"Chinese: 獅群裡有一到三隻成年公獅，再加上多達三十隻母獅和幼獅組成。 
English: Lions are social animals, living in large groups called prides.","Lions are social animals, living in large groups called prides."
雖然人工智慧具有很強的科幻內涵，但人工智慧仍形成了電腦科學極重要的一個分支，專門處理機器的行為、學習和智慧型適應。,"Chinese: 雖然人工智慧具有很強的科幻內涵，但人工智慧仍形成了電腦科學極重要的一個分支，專門處理機器的行為、學習和智慧型適應。 
English: Although AI has a strong connotation of science fiction, AI has become an important branch of computer science, dealing with the behavior, learning and intelligent adaptation of machines.","Although AI has a strong connotation of science fiction, AI has become an important branch of computer science, dealing with the behavior, learning and intelligent adaptation of machines."
此格式的長寬比（除以 12，以獲得最簡單整數比）因此稱為 3:2。,"Chinese: 此格式的長寬比（除以 12，以獲得最簡單整數比）因此稱為 3:2。 
English: The aspect ratio of this format (dividing by twelve to get the simplest whole number ratio) is therefore said to be 3:2.",The aspect ratio of this format (dividing by twelve to get the simplest whole number ratio) is therefore said to be 3:2.
