text,translated_text,clean_output
"Liom duɔ̱ɔ̱rä la ji̱i̱n mi̱ dɔ̱ŋ ɛ no̱o̱ŋɛ, kä mi̱ caa jicdɛ liny laa bëë raar kä tuŋ in göl in caa nyoth.","Nuer: Liom duɔ̱ɔ̱rä la ji̱i̱n mi̱ dɔ̱ŋ ɛ no̱o̱ŋɛ, kä mi̱ caa jicdɛ liny laa bëë raar kä tuŋ in göl in caa nyoth. 
English: The first step to becoming a successful entrepreneur is to have a strong business plan.",The first step to becoming a successful entrepreneur is to have a strong business plan.
Ɛn buɔ̱m in laa mär lätdɛ kɛ ɣöö bɛ buɔ̱m naŋ guäth kɛl ce̱tkɛ nukliöth mi̱ te̱kɛ pi̱rɔtɔni̱ ti̱ ŋuan kɛnɛ nie̱wtɔni̱.,"Nuer: Ɛn buɔ̱m in laa mär lätdɛ kɛ ɣöö bɛ buɔ̱m naŋ guäth kɛl ce̱tkɛ nukliöth mi̱ te̱kɛ pi̱rɔtɔni̱ ti̱ ŋuan kɛnɛ nie̱wtɔni̱. 
English: Nuer: This is the traditional way of showing respect to the deceased.",Nuer: This is the traditional way of showing respect to the deceased.
Ɣɛn nuklieth tëë kɛ gua̱th da̱ŋ rɛw. pirɔtɔni̱ kɛnɛ Nie̱wtirɔni̱.,"Nuer: Ɣɛn nuklieth tëë kɛ gua̱th da̱ŋ rɛw. pirɔtɔni̱ kɛnɛ Nie̱wtirɔni̱. 
English: The Nubian army was led by Nuhu.",The Nubian army was led by Nuhu.
Nɛmɛ cua dhuum lɛnthɛthni̱ jakä ɣöö bɛ thurɛ ni̱ ti̱ gɔw nööŋ ti̱ la̱nykɛ lɛnthi̱thni̱ tin ca la̱t ɛ la ɣöö  /ci̱kɛ räth ɛlɔ̱ŋ.,"Nuer: Nɛmɛ cua dhuum lɛnthɛthni̱ jakä ɣöö bɛ thurɛ ni̱ ti̱ gɔw nööŋ ti̱ la̱nykɛ lɛnthi̱thni̱ tin ca la̱t ɛ la ɣöö  /ci̱kɛ räth ɛlɔ̱ŋ. 
English: Nuer: Nuer is a language of the Nuer people in the northwestern region of Niger.",Nuer: Nuer is a language of the Nuer people in the northwestern region of Niger.
Kɛn tëkɛ të kɛ wi̱i̱kä wɛb prɔkthi̱th kɛ dup ti̱ ŋuan.kɛn ku kɛn trapik intɛrnɛtni̱ dial pith ɛ /ci̱ lapɛ http.,"Nuer: Kɛn tëkɛ të kɛ wi̱i̱kä wɛb prɔkthi̱th kɛ dup ti̱ ŋuan.kɛn ku kɛn trapik intɛrnɛtni̱ dial pith ɛ /ci̱ lapɛ http. 
English: Use the following code to redirect all incoming requests to a custom 404 page.",Use the following code to redirect all incoming requests to a custom 404 page.
Ca̱pla̱t ŋɔani̱kɛɛl jɛn go̱rɛ ɣöö ji̱n biɛ-nyɔk kɛ guäc ɛn ta̱a̱ in bɔ̱ ŋɔaani̱ raar kɛ jɛ kä media kɛnɛ gör ŋäcä cärä mi̱ /ci̱ wi̱du bi̱ ko̱t kä kɛl.,"Nuer: Ca̱pla̱t ŋɔani̱kɛɛl jɛn go̱rɛ ɣöö ji̱n biɛ-nyɔk kɛ guäc ɛn ta̱a̱ in bɔ̱ ŋɔaani̱ raar kɛ jɛ kä media kɛnɛ gör ŋäcä cärä mi̱ /ci̱ wi̱du bi̱ ko̱t kä kɛl. 
English: Nuer: Ca̱pla̱t ŋɔani̱kɛɛl jɛn goö ji̱n biɛ-nyɔk kɛ guäc ɛn ta̱a",Nuer: Ca̱pla̱t ŋɔani̱kɛɛl jɛn goö ji̱n biɛ-nyɔk kɛ guäc ɛn ta̱a
Ɣɛn nɔmɔ cuaa läth lät kuee laa ni̱ ɣöö ɣɛn yiiedh ɛmɔ coth ɛ jiɛn tin caa la̱t ni̱ ciöök thurbiɛɛli̱ jiöök tuɔ̱ruɔ̱k.,"Nuer: Ɣɛn nɔmɔ cuaa läth lät kuee laa ni̱ ɣöö ɣɛn yiiedh ɛmɔ coth ɛ jiɛn tin caa la̱t ni̱ ciöök thurbiɛɛli̱ jiöök tuɔ̱ruɔ̱k. 
English: Nuer: Ɣɛn nɔmɔ cuaa lath lät kuee laa na göö gɛn yiiedh ɛmɔ coth ɛ jiɛn tin caa laa laa niöök thurbiɛli̱ jiöök tu",Nuer: Ɣɛn nɔmɔ cuaa lath lät kuee laa na göö gɛn yiiedh ɛmɔ coth ɛ jiɛn tin caa laa laa niöök thurbiɛli̱ jiöök tu
"praid laa tekɛ tut luɔny kɛl ɛ wä kä diɔ̱k, kɛɛl kɛnɛ ŋut luɔny kɛnɛ dɛy ti̱ cop jiɛndiɔ̱k.","Nuer: praid laa tekɛ tut luɔny kɛl ɛ wä kä diɔ̱k, kɛɛl kɛnɛ ŋut luɔny kɛnɛ dɛy ti̱ cop jiɛndiɔ̱k. 
English: Nuer: Praid laa tekɛ tut luoy kɛl ɛ wā kä diɔ̱k, kɛɛl kɛnɛ ŋut luoy kɛl dɛy ti̱ cop jiɛndi","Nuer: Praid laa tekɛ tut luoy kɛl ɛ wā kä diɔ̱k, kɛɛl kɛnɛ ŋut luoy kɛl dɛy ti̱ cop jiɛndi"
"Ɛ cäŋ ni̱ min AI tëë luɔ̱ɔ̱tni̱ ti̱ ŋuan kä ta̱a̱ in caa naŋ ni̱ thaany,AI cɛ kaar kɛl mi̱ bumbum kä kɔmpie̱tɛr thaany  min lät kɛ ta̱a̱ ciɛŋa̱, ta̱a̱ ŋi̱i̱cä kɛnɛ ŋa̱c ŋɔaani̱ kɛ ŋie̱c diɛn kä maciin.","Nuer: Ɛ cäŋ ni̱ min AI tëë luɔ̱ɔ̱tni̱ ti̱ ŋuan kä ta̱a̱ in caa naŋ ni̱ thaany,AI cɛ kaar kɛl mi̱ bumbum kä kɔmpie̱tɛr thaany  min lät kɛ ta̱a̱ ciɛŋa̱, ta̱a̱ ŋi̱i̱cä kɛnɛ ŋa̱c ŋɔaani̱ kɛ ŋie̱c diɛn kä maciin. 
English: The AI ​​system is now being used in a number of fields, including medicine, robotics, entertainment and even agriculture.","The AI ​​system is now being used in a number of fields, including medicine, robotics, entertainment and even agriculture."
Jɛn ta̱a̱ rɛciö duŋ puɔrmatä dɛ (da̱k jɛ kä wälrɛw kɛ nŋo̱dɛ kɛ rɛci̱ö na̱mbäri̱-diaal) kɛ kui̱c ɛmɔ ba cu lari̱ bɛ a 3:2.,"Nuer: Jɛn ta̱a̱ rɛciö duŋ puɔrmatä dɛ (da̱k jɛ kä wälrɛw kɛ nŋo̱dɛ kɛ rɛci̱ö na̱mbäri̱-diaal) kɛ kui̱c ɛmɔ ba cu lari̱ bɛ a 3:2. 
English: The ratio of the image to the screen is therefore 3:2.",The ratio of the image to the screen is therefore 3:2.
